direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_price_since_entry,min_price_since_entry,exit_time,exit_price,pnl,exit_reason,mtf_tf
LONG,550.55,,568.6,1.8324873096446939,TREND,34.21,5.1214,23.6402,16.7364,5.0,BULLISH_BOS,True,,,5.350000000000023,,,BOS,True,,540.7,,2024-09-18 22:30:00,1,zone,,ABOVE,0.2031293170492436,2.000823772935031,BNBUSDT,37,2.527918781725921,9.849999999999909,2.6649746192893646,0.0,576.8,550.55,2024-09-20 11:00:00,568.6,3.666484172738861,stop_loss,15m
LONG,575.6,,583.05,0.7487437185929545,TREND,39.1174,3.2429,38.6564,10.022,4.0,BULLISH_BOS,True,,,6.0,,,BOS,True,,565.65,,2024-09-21 06:15:00,1,zone,,ABOVE,0.187611870427218,1.8667381107508276,BNBUSDT,20,1.2914572864321572,9.950000000000045,1.4623115577889334,0.0,590.15,575.6,2024-09-22 02:00:00,583.05,1.3977084346827613,stop_loss,15m
LONG,600.5,,591.8,-1.0,TREND,39.4022,4.0036,42.7297,7.5825,3.5,BULLISH_BOS,False,,,10.75,,,BOS,False,,591.8,,2024-09-26 15:30:00,1,zone,,ABOVE,0.20537833118631432,1.786791481320944,BNBUSDT,5,0.6149425287356316,8.700000000000045,0.9770114942528685,1.212643678160908,609.0,589.95,2024-09-26 20:00:00,591.8,-1.786791481320944,stop_loss,15m
LONG,598.25,,606.15,0.9518072289156652,TREND,30.3185,5.4714,30.0261,19.7781,3.5,BULLISH_BOS,False,,,5.25,,,BOS,False,,589.95,,2024-09-27 02:15:00,1,zone,,ABOVE,0.21161638869138524,1.7564160261384878,BNBUSDT,17,1.5843373493975963,8.299999999999955,1.9939759036144633,0.0,614.8,598.25,2024-09-27 19:00:00,606.15,1.6717694706619386,stop_loss,15m
LONG,573.55,,571.05,-0.2392344497607671,TREND,33.6773,3.375,31.8519,4.6561,5.0,BULLISH_BOS,True,,,8.5,,,BOS,True,,563.1,,2024-10-07 00:30:00,1,zone,,ABOVE,0.20093848659045904,2.0998071848702833,BNBUSDT,9,0.2966507177033534,10.449999999999932,0.3732057416268054,0.3301435406698521,577.45,570.1,2024-10-07 09:00:00,571.05,-0.5023462164761476,stop_loss,15m
LONG,568.5,578.6428,563.4286,-1.0,RANGE,14.5574,5.0714,17.6056,26.0563,4.0,,False,SWEEP_LOW,,6.7000000000000455,,,SWEEP,False,564.4286,,,2024-10-08 00:30:00,1,,,,0.37086095249569545,1.8807842344866845,BNBUSDT,5,0.3154947351816087,5.07140000000004,0.5028197341956727,1.2324013093031414,571.05,562.25,2024-10-08 05:00:00,563.4286,-1.8807842344866845,stop_loss,15m
LONG,580.0,,587.0,0.6603773584905647,TREND,37.5982,3.7393,30.9456,18.1471,3.5,BULLISH_BOS,False,,,10.949999999999932,,,BOS,False,,569.4,,2024-10-14 03:30:00,1,zone,,ABOVE,0.16455876315786502,1.7443228894733729,BNBUSDT,24,1.0896226415094272,10.600000000000023,1.1603773584905592,0.533018867924525,592.3,574.35,2024-10-15 03:00:00,587.0,1.151911342105055,stop_loss,15m
SHORT,590.95,,599.6,-1.0,TREND,37.2123,3.2464,7.3707,36.1936,5.0,BEARISH_BOS,True,,,7.0,,,BOS,True,,,599.6,2024-10-22 08:30:00,1,zone,,BELOW,0.23990552632290557,2.075182802693128,BNBUSDT,4,0.13294797687862359,8.649999999999977,0.49710982658960456,1.0231213872832292,599.8,586.65,2024-10-22 12:00:00,599.6,-2.075182802693128,stop_loss,15m
LONG,596.8,,604.0,0.8470588235294171,TREND,34.2223,3.2571,29.8246,12.8289,5.0,BULLISH_BOS,True,,,2.699999999999932,,,BOS,True,,588.3,,2024-10-28 20:15:00,1,zone,,ABOVE,0.2392563701928547,2.033679146639265,BNBUSDT,23,1.6117647058823583,8.5,1.8529411764705883,0.0,612.55,596.8,2024-10-29 19:00:00,604.0,1.7226458653885648,stop_loss,15m
SHORT,589.85,,580.3,0.8967136150234825,TREND,36.8739,3.0357,5.8824,32.1176,3.5,BEARISH_BOS,False,,,3.3500000000000227,,,BOS,False,,,600.5,2024-10-31 06:15:00,1,zone,,BELOW,0.1650621835075103,1.7579122543549812,BNBUSDT,30,1.582159624413151,10.649999999999977,1.887323943661978,0.0,589.85,569.75,2024-11-01 12:00:00,580.3,1.5763438524967348,stop_loss,15m
