direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
LONG,594.2,602.576,591.2086,2.8,TREND,32.1272,2.4929,29.7994,10.0287,4,BOS,False,2024-10-28 09:00:00,ABOVE,0.28228797806596856,0.8444362575865381,BNBUSDT,6,0.5515811994383827,2.9913999999999987,2024-10-28 15:00:00,591.2086,-0.844436257586538,stop_loss
LONG,597.9,609.6257,597.9,3.0,TREND,34.2223,3.2571,29.8246,12.8289,4,BOS,True,2024-10-28 20:00:00,ABOVE,0.18718652335785835,0.7316372451965211,BNBUSDT,6,2.3026147469682368,3.9085999999999785,2024-10-29 02:00:00,609.6257,2.1948930169372534,take_profit
SHORT,590.55,578.6314,588.75,3.0,TREND,28.0526,3.3107,5.3937,29.5577,4,BOS,True,2024-10-31 04:00:00,BELOW,0.1436391263032072,0.5706638848900255,BNBUSDT,10,3.1211457625411363,3.972900000000095,2024-10-31 14:00:00,578.6314,1.711977290757401,take_profit
SHORT,571.5,555.852,577.0886,2.8,TREND,30.0357,4.6571,19.3252,33.0521,5,BOS,False,2024-11-01 15:00:00,BELOW,0.10810974405202965,0.6041821156091775,BNBUSDT,1,0.0,5.588600000000042,2024-11-01 16:00:00,577.0886,-0.6041821156091775,stop_loss
LONG,586.9,602.632,586.9,2.8,TREND,29.3667,4.6821,25.553,18.8406,4,BOS,False,2024-11-06 18:00:00,ABOVE,0.09040751780543585,0.5079636795416232,BNBUSDT,7,2.7053002527319983,5.618600000000015,2024-11-07 01:00:00,602.632,1.4222910701151141,take_profit
LONG,635.7,661.7357,627.0214,3.0,TREND,28.9917,7.2321,48.4938,10.6667,4,BOS,True,2024-11-09 03:00:00,ABOVE,0.06754760008725773,0.5862186021172799,BNBUSDT,7,0.0,8.678600000000074,2024-11-09 10:00:00,627.0214,-0.5862186021172799,stop_loss
SHORT,615.1,592.84,623.05,2.8,TREND,29.9136,6.625,13.3693,27.7628,4,BOS,False,2024-11-17 01:00:00,BELOW,0.06446352892320772,0.512485054939497,BNBUSDT,3,0.3207547169811434,7.949999999999932,2024-11-17 04:00:00,623.05,-0.512485054939497,stop_loss
LONG,647.6,671.7843,639.5386,3.0,TREND,32.9642,6.7179,36.9484,12.5997,4,BOS,True,2024-11-23 01:00:00,ABOVE,0.12270645528120365,0.9891858186039011,BNBUSDT,1,0.0,8.061400000000049,2024-11-23 02:00:00,639.5386,-0.9891858186039011,stop_loss
LONG,654.2,683.9643,646.15,3.0,TREND,34.4817,8.2679,28.3801,10.2808,4,BOS,True,2024-12-03 00:00:00,ABOVE,0.07588913571101387,0.7529264710432577,BNBUSDT,12,0.23182212187795473,9.921400000000062,2024-12-03 12:00:00,646.15,-0.6109075424736669,stop_loss
LONG,278.72,301.0472,279.67,2.8,TREND,31.0108,6.645,30.6353,8.3629,4,BOS,False,2024-12-06 16:00:00,ABOVE,0.1072668288661862,0.8553456933789737,AAVEUSDT,9,1.092299974918476,7.974000000000046,2024-12-07 01:00:00,279.67,0.10190348742287567,stop_loss
LONG,25.686,27.6022,25.686,2.8,TREND,34.5111,0.5703,31.0245,11.7986,4,BOS,False,2024-12-06 22:00:00,ABOVE,0.9615055175743581,0.6579582256761336,LINKUSDT,7,1.392664036241413,0.6843000000000004,2024-12-07 05:00:00,25.686,-0.0,stop_loss
LONG,17.591,19.3056,17.357,3.0,TREND,32.6015,0.4763,33.3233,8.6083,4,BOS,True,2024-12-06 18:00:00,ABOVE,1.7014750634973361,0.9723929987887282,UNIUSDT,18,1.17760279965004,0.5715000000000003,2024-12-07 12:00:00,17.357,-0.39814516485837964,stop_loss
LONG,2.5424,2.6798,2.4933,2.8,TREND,34.1421,0.0409,23.1697,15.5688,3,BOS,False,2024-12-07 15:00:00,ABOVE,12.196002239218187,0.5988237099456147,XRPUSDT,2,0.0,0.049100000000000144,2024-12-07 17:00:00,2.4933,-0.5988237099456147,stop_loss
LONG,755.45,776.4123,748.95,2.4,TREND,27.7342,7.2786,25.368,13.2483,3,BOS,False,2024-12-07 20:00:00,ABOVE,0.05187256218402315,0.4530705198839173,BNBUSDT,5,0.07441924367149876,8.734300000000076,2024-12-08 01:00:00,748.95,-0.33717165419615047,stop_loss
LONG,2.6121,2.7482,2.5554,2.4,TREND,25.8907,0.0472,39.9698,13.0461,4,BOS,False,2024-12-07 23:00:00,ABOVE,8.751677128857093,0.49622009320619503,XRPUSDT,5,0.0,0.05669999999999975,2024-12-08 04:00:00,2.5554,-0.496220093206195,stop_loss
LONG,1.1805,1.2187,1.1616,2.02,RANGE,15.5815,0.0157,16.5683,26.1462,4,SWEEP,False,2024-12-08 08:00:00,,19.36374327328678,0.36597474786512285,ADAUSDT,3,1.4867724867724648,0.01890000000000014,2024-12-08 11:00:00,1.2187,0.7396949930395509,take_profit
SHORT,1.1237,1.0638,1.1451,2.8,TREND,34.4046,0.0178,9.7395,36.994,4,BOS,False,2024-12-09 08:00:00,BELOW,30.417606472760376,0.6509367785170747,ADAUSDT,6,0.8925233644859728,0.021400000000000086,2024-12-09 14:00:00,1.1451,-0.6509367785170747,stop_loss
SHORT,124.49,116.2923,127.2226,3.0,TREND,30.082,2.2771,11.857,41.8758,4,BOS,True,2024-12-09 08:00:00,BELOW,0.2437279894292289,0.6660111039143122,LTCUSDT,6,0.9551343043255488,2.732600000000005,2024-12-09 14:00:00,127.2226,-0.6660111039143122,stop_loss
SHORT,7.382,6.9524,7.314,2.8,TREND,29.5475,0.1279,10.0559,34.5251,4,BOS,False,2024-12-09 06:00:00,BELOW,3.231508428101004,0.4957133928706953,FILUSDT,14,5.853976531942616,0.15340000000000042,2024-12-09 20:00:00,6.9524,1.3882560207121906,take_profit
SHORT,7.182,6.778,7.182,2.4,TREND,27.2363,0.1403,13.2892,38.0855,4,BOS,False,2024-12-09 08:00:00,BELOW,2.945415287407587,0.4957133928706953,NEARUSDT,12,3.2917409387997747,0.16829999999999945,2024-12-09 20:00:00,6.778,1.1899477761126676,take_profit
SHORT,97847.9,94484.348,97847.9,2.8,TREND,31.5667,1001.0571,14.1508,31.6658,4,BOS,False,2024-12-09 15:00:00,BELOW,0.0006943161946271127,0.8340602430770463,BTCUSDT,6,1.28855444985408,1201.2686000000103,2024-12-09 21:00:00,94484.348,2.3353686250704113,take_profit
SHORT,22.367,19.7452,23.3033,2.8,TREND,29.4337,0.7803,8.6415,40.4614,4,BOS,False,2024-12-09 20:00:00,BELOW,0.5367233869472886,0.5025341071987459,LINKUSDT,1,0.43468973619566414,0.9362999999999992,2024-12-09 21:00:00,19.7452,1.4071813758984015,take_profit
SHORT,0.2551,0.2177,0.2684,2.8,TREND,34.34,0.0111,12.723,27.4605,4,BOS,False,2024-12-10 17:00:00,BELOW,51.61428987019093,0.6864700552735411,HBARUSDT,2,0.0,0.013300000000000034,2024-12-10 19:00:00,0.2684,-0.6864700552735411,stop_loss
SHORT,20.338,17.459,21.3662,2.8,TREND,32.0308,0.8569,22.049,28.2427,4,BOS,False,2024-12-10 17:00:00,BELOW,0.8679352964944611,0.8924110718556034,LINKUSDT,2,0.0,1.0281999999999982,2024-12-10 19:00:00,21.3662,-0.8924110718556034,stop_loss
SHORT,6.182,5.444,6.4456,2.8,TREND,32.9916,0.2196,15.9675,27.1545,3,BOS,False,2024-12-10 18:00:00,BELOW,3.091085391068107,0.8148101090855511,NEARUSDT,3,0.0,0.2635999999999994,2024-12-10 21:00:00,6.4456,-0.8148101090855511,stop_loss
LONG,16.986,18.2128,16.986,2.6,TREND,26.6376,0.3932,43.3424,8.356,3,BOS,True,2024-12-11 15:00:00,ABOVE,1.1214135460790395,0.5291950523947004,UNIUSDT,11,1.3329095147276875,0.47190000000000154,2024-12-12 02:00:00,16.986,-0.0,stop_loss
LONG,234.13,243.6076,230.7451,2.8,TREND,30.8405,2.8207,18.511,12.2816,4,BOS,False,2024-12-12 17:00:00,ABOVE,0.17800368396234348,0.6025246698441342,SOLUSDT,2,0.0,3.3848999999999876,2024-12-12 19:00:00,230.7451,-0.6025246698441342,stop_loss
LONG,0.3203,0.3445,0.311,2.6,TREND,25.2377,0.0078,44.7194,10.138,4,BOS,True,2024-12-13 12:00:00,ABOVE,61.92369029854436,0.575890319776461,HBARUSDT,1,0.0,0.009299999999999975,2024-12-13 13:00:00,0.311,-0.575890319776461,stop_loss
