direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ml_score,smc_ok,volume_spike,funding_rate,orderbook_imbalance,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
SHORT,3.063,2.9462,3.12,2.05,TREND,35.8648,0.06,9.6429,48.4524,4,BOS,False,2025-02-09 21:00:00,0.98,True,True,,,BELOW,5.906317965277508,0.33666012402081763,NEARUSDT,1,0.0,0.05699999999999994,2025-02-09 22:00:00,3.12,-0.33666012402081763,stop_loss
SHORT,3.374,3.2875,3.4162,2.05,TREND,38.3109,0.0444,22.8296,28.135,4,BOS,False,2025-02-11 13:00:00,0.8731,True,True,,,BELOW,6.7475851844283765,0.2847480947828761,FILUSDT,1,0.0,0.04219999999999979,2025-02-11 14:00:00,3.4162,-0.2847480947828761,stop_loss
SHORT,96324.4,95346.5602,96324.4,2.05,TREND,36.3633,502.1,11.5984,28.0436,4,BOS,False,2025-02-11 16:00:00,0.98,True,True,,,BELOW,0.0005952700425248919,0.2839408339341667,BTCUSDT,3,2.806109078711459,476.9950000000099,2025-02-11 19:00:00,95346.5602,0.582078739328524,take_profit
SHORT,2609.82,2554.8268,2609.82,2.05,TREND,35.2716,28.2379,10.4369,31.4168,4,BOS,False,2025-02-11 18:00:00,0.98,True,True,,,BELOW,0.012348628429752014,0.3312643062565278,ETHUSDT,1,0.7872959069559505,26.826000000000022,2025-02-11 19:00:00,2609.82,-0.0,stop_loss
SHORT,95613.5,94738.4465,95613.5,2.05,TREND,37.6842,449.3214,17.5503,25.0155,4,BOS,False,2025-02-17 15:00:00,0.9747,True,True,,,BELOW,0.000669058016274745,0.28559102716016305,BTCUSDT,1,0.7663016562517554,426.8554000000004,2025-02-17 16:00:00,95613.5,-0.0,stop_loss
SHORT,25.12,24.5,25.4427,1.92,RANGE,20.5587,0.3396,20.3996,25.5521,4,SWEEP,False,2025-02-17 15:00:00,0.6715,False,True,,,,0.6883370141242834,0.22212635445790457,AVAXUSDT,4,1.8593120545398387,0.32269999999999754,2025-02-17 19:00:00,24.5,0.4267689487570564,take_profit
SHORT,95501.8,94714.9374,95964.6604,1.7,RANGE,13.496,487.2214,16.2261,26.9341,4,SWEEP,False,2025-02-18 14:00:00,0.62,False,True,,,,0.0004819323061335955,0.22306737998991388,BTCUSDT,2,1.948535670798425,462.8603999999905,2025-02-18 16:00:00,94714.9374,0.3792145074282806,take_profit
SHORT,3.268,3.1523,3.3245,2.05,TREND,39.7554,0.0594,14.4231,42.3077,4,BOS,False,2025-02-21 19:00:00,0.9,True,True,,,BELOW,5.095150270061016,0.2878759902584485,FILUSDT,3,0.01769911504424577,0.05650000000000022,2025-02-21 22:00:00,3.3245,-0.2878759902584485,stop_loss
SHORT,3.299,3.2224,3.299,2.05,TREND,35.7723,0.0394,9.9819,37.931,4,BOS,False,2025-02-24 03:00:00,0.98,True,True,,,BELOW,8.954630270866609,0.3349031721304101,FILUSDT,5,1.2032085561497345,0.03739999999999988,2025-02-24 08:00:00,3.299,-0.0,stop_loss
SHORT,0.2015,0.1973,0.2039,1.8,TREND,34.4916,0.0025,12.8724,39.8033,4,BOS,False,2025-02-24 08:00:00,0.98,True,True,,,BELOW,139.54298838767173,0.3349031721304101,HBARUSDT,1,0.0,0.0023999999999999855,2025-02-24 09:00:00,0.2039,-0.3349031721304101,stop_loss
SHORT,23.125,22.3453,23.5053,2.05,TREND,39.0558,0.4004,6.3336,39.9643,4,BOS,False,2025-02-24 14:00:00,0.9,True,True,,,BELOW,0.7523281917777475,0.2861104113330761,AVAXUSDT,3,0.0,0.3802999999999983,2025-02-24 17:00:00,23.5053,-0.2861104113330761,stop_loss
SHORT,0.1955,0.1877,0.1955,2.05,TREND,35.0683,0.004,7.3988,41.4188,4,BOS,False,2025-02-28 01:00:00,0.98,True,True,,,BELOW,87.59188676397495,0.33284916970310463,DOGEUSDT,1,0.7078947368421051,0.003799999999999998,2025-02-28 02:00:00,0.1955,-0.0,stop_loss
SHORT,2191.89,2107.502,2191.89,2.05,TREND,37.4535,43.3314,6.2854,42.8607,4,BOS,False,2025-02-28 01:00:00,0.98,True,True,,,BELOW,0.006930644513091137,0.28529928831694684,ETHUSDT,1,0.6362216354224088,41.164900000000216,2025-02-28 02:00:00,2191.89,-0.0,stop_loss
SHORT,7.518,7.2551,7.518,2.05,TREND,37.678,0.135,4.6032,40.3175,4,BOS,False,2025-02-28 01:00:00,0.98,True,True,,,BELOW,2.2254234658108083,0.28529928831694684,UNIUSDT,1,0.8736349453978131,0.12820000000000054,2025-02-28 02:00:00,7.518,-0.0,stop_loss
SHORT,3.715,3.5952,3.715,2.05,TREND,37.5335,0.0615,3.252,41.115,4,BOS,False,2025-03-03 06:00:00,0.98,True,True,,,BELOW,4.88526178624907,0.28529928831694684,AXSUSDT,2,0.6335616438356126,0.05840000000000023,2025-03-03 08:00:00,3.715,-0.0,stop_loss
SHORT,87120.2,84084.9378,87120.2,2.05,TREND,39.3837,1558.5429,10.3595,39.7707,4,BOS,False,2025-03-03 18:00:00,0.9,True,True,,,BELOW,0.00019268962791421505,0.28529928831694684,BTCUSDT,1,1.0725943268060585,1480.6157000000094,2025-03-03 19:00:00,87120.2,-0.0,stop_loss
LONG,405.4,419.7,397.4471,1.8,RANGE,17.2346,8.3714,23.8055,20.9044,5,SWEEP,False,2025-03-07 01:00:00,0.669,True,True,,,,0.027901702079585616,0.22189944646873644,BCHUSDT,2,0.0,7.9529,2025-03-07 03:00:00,397.4471,-0.22189944646873644,stop_loss
SHORT,6.725,6.5666,6.8023,2.05,TREND,36.7693,0.0814,7.4627,42.1422,4,BOS,False,2025-03-09 13:00:00,0.98,True,True,,,BELOW,3.6826675729134206,0.28467020338620797,UNIUSDT,1,0.0,0.07730000000000015,2025-03-09 14:00:00,6.8023,-0.28467020338620797,stop_loss
SHORT,0.1802,0.1754,0.1802,2.05,TREND,36.6527,0.0024,9.1123,40.4174,4,BOS,False,2025-03-09 13:00:00,0.98,True,True,,,BELOW,123.76965364617756,0.28467020338620797,DOGEUSDT,2,1.2869565217391283,0.0022999999999999965,2025-03-09 15:00:00,0.1802,-0.0,stop_loss
